Title,Genre,Director,Country,Year,Rating
Клуб Зеро,['драма'],['Джессика Хаузнер'],"['Австрия', 'Германия', 'Великобритания', 'Франция', 'Дания']",2023,5.9
Книжный клуб: Новая глава,"['романтическая комедия', 'мелодрама']",['Билл Холдерман'],['США'],2023,5.6
Клетка ищет птицу,['драматический фильм'],['Малика Мусаева'],"['Франция', 'Россия']",2023,6.3
Клипмейкеры,['комедия'],['Григорий Константинопольский'],['Россия'],2023,5.1
Кокаиновый медведь,"['комедийный фильм ужасов', 'триллер']",['Элизабет Бэнкс'],['США'],2023,5.9
Кентавр,['триллер'],['Кирилл Кемниц'],['Россия'],2023,7.0
Кладбище домашних животных: Кровные узы,['фильм ужасов о сверхъестественном'],['Линдзи Бир'],['США'],2023,4.6
Как заниматься сексом,['драматический фильм'],['Молли Мэннинг Уокер'],"['Великобритания', 'Греция']",2023,6.5
Капитан Марвел 2,['супергеройский фильм'],"['Ниа Дакоста', 'ru', 'en']",['США'],2023,5.6
Кино 3.0,['документальный фильм'],"['Никита Карцев', 'Лана Дружинина']",['Россия'],2023,
К тебе или ко мне?,['романтическая комедия'],"['Брош Маккенна, Алин']",['США'],2023,5.7
Искусство по понятиям,"['чёрно', 'комедийный триллер']",['Николь Паон'],['США'],2023,5.5
Индиана Джонс и Колесо судьбы,['приключенческий боевик'],['Джеймс Мэнголд'],['США'],2023,6.6
Прекрасные дни,['драма'],['Вим Вендерс'],"['Япония', 'Германия']",2023,7.9
Изгоняющий дьявола: Верующий,"['мистика', 'фильм ужасов']",['Дэвид Гордон Грин'],['США'],2023,4.8
"Иди ко мне, детка",['романтическая комедия'],['Ребекка Миллер'],['США'],2023,6.0
Зона интересов,['драма'],['Джонатан Глейзер'],"['Великобритания', 'Польша', 'США']",2023,7.9
Злобные маленькие письма,['комедия'],['Теа Шэррок'],['Великобритания'],2023,7.2
И не подумай прийти на мою бат-мицву,['драмеди'],['Сэмми Коэн'],['США'],2023,6.0
Игра в свидание,['триллер'],['Анна Кендрик'],['США'],2023,7.8
Зла не существует,['драматический фильм'],['Рюсукэ Хамагути'],['Япония'],2023,7.2
Гена Васильевич меняет всё,"['комедия', 'пародия', 'фантастика', 'приключенческий фильм', 'музыкальный фильм']","['Михаил Семичев', 'Роман Ким']",['Россия'],2023,4.4
Зелёная граница,['драматический фильм'],['Агнешка Холланд'],"['Польша', 'Чехия', 'Франция', 'Бельгия']",2023,6.4
Звук свободы,['боевик'],"['Алехандро Гомес Монтеверде', '[en]']",['США'],2023,7.7
Запретная страсть,['драма'],['Катрин Брейя'],['Франция'],2023,6.4
Звёзды в полдень,['экранизация романа'],['Клер Дени'],['Франция'],2023,5.5
Зверь в джунглях,['драматический фильм'],['Патрик Шиа'],"['Франция', 'Бельгия', 'Австрия']",2023,5.4
Заклятие. Зло внутри,['фильм ужасов о сверхъестественном'],['Бишал Дутта'],['США'],2023,5.2
Жикина династия: Возвращение,,,,2023,
Женщина с…,['драматический фильм'],"['Малгожата Шумовская', 'Михал Энглерт']","['Польша', 'Швеция']",2023,7.0
Ещё одна настоящая любовь,['мелодрама'],['Энди Фикмен'],['США'],2023,5.4
Жанна Дюбарри,"['исторический фильм', 'биографический фильм', 'драматический фильм']",['Майвенн'],"['Франция', 'Великобритания', 'Бельгия']",2023,6.7
За нас с вами,['драма'],['Андрей Смирнов'],['Россия'],2023,6.7
Дыхание,['драма'],['Роман Каримов'],['Россия'],2023,5.4
Ёлки 10,['комедия'],"['Александра Лупашко', 'Сергей Наумов']",['Россия'],2023,3.0
Любовь с первого взгляда,"['экранизация романа', 'романтическая комедия']",['Vanessa Caswill'],"['США', 'Великобритания']",2023,6.8
"Дрозд, дрозд, ежевика",['драматический фильм'],['Элене Навериани'],"['Швейцария', 'Грузия']",2023,7.1
Дочь болотного короля,['психологический фильм-триллер'],['Нил Бёргер'],['США'],2023,5.8
Дочери Ольфы,['документальный фильм'],['Каутер Бен Ханья'],['Тунис'],2023,7.4
Дурные деньги,['комедийная драма'],['Крейг Гиллеспи'],['США'],2023,6.9
Дорога отчаяния,['боевик'],['Надин Крокер'],['США'],2023,5.7
Домашняя вечеринка,['комедия'],"['Calmatic', '[en]']",['США'],2023,4.4
Доктор Чхон и потерянный талисман,"['мистика', 'триллер']",['Ким Сонсик'],['Республика Корея'],2023,6.0
Долгожданный рассвет,['Драма'],['Саверио Костанцо'],['Италия'],2023,5.6
Довбуш,"['исторический фильм', 'приключенческий фильм', 'биографический фильм', 'драматический фильм', 'боевик']",['Олесь Александрович Санин'],['Украина'],2023,7.7
Джестер,['ужасы'],['Колин Кравчук'],['США'],2023,4.2
Догмен,"['драматический фильм', 'боевик', 'фильм-триллер']",['Люк Бессон'],"['Франция', 'США']",2023,6.7
Джон Уик 4,"['неонуарный', 'остросюжетный боевик']",['Чад Стахелски'],['США'],2023,7.7
До конца ночи,['криминальный фильм'],['Кристоф Хоххеуслер'],['Германия'],2023,5.7
Доктор,['драматический фильм'],['Артём Темников'],['Россия'],2023,6.6
Дворец,['комедийная драма'],['Роман Полански'],"['Италия', 'Франция', 'Польша', 'Швейцария']",2023,5.4
День благодарения,['слэшер'],['Элай Рот'],['США'],2023,6.4
Детектив Найт: Независимость,"['боевик', 'триллер', 'криминал']",['Эдвард Дрейк'],['США'],2023,4.0
Дети шпионов: Армагеддон,"['шпионский', 'комедийный боевик']",['Роберт Родригес'],['США'],2023,4.3
Дайана Найэд,['спортивный биографический фильм'],"['Элизабет Чай Васархели', 'Джимми Чин']",['США'],2023,7.1
Граф,['комедийный фильм'],['Пабло Ларраин'],['Чили'],2023,6.4
Гран Туризмо,"['спортивная', 'драма']",['Нил Бломкамп'],"['США', 'Великобритания', 'Япония']",2023,7.2
Гром: Трудное детство,"['приключения', 'боевик', 'детектив', 'супергероика', 'драма']",['Олег Трофим'],['Россия'],2023,5.9
Год рождения,"['фэнтези', 'романтический фильм', 'драматический фильм']",['Михаил Местецкий'],['Россия'],2023,5.6
Город астероидов,"['комедия, драма, романтический фильм']",['Уэс Андерсон'],['США'],2023,6.5
Вызов,['драма'],['Клим Шипенко'],['Россия'],2023,6.9
Говорят женщины,"['драматический фильм', 'экранизация книги']",['Сара Полли'],['США'],2023,6.9
Вы когда-нибудь боялись?,['фильм ужасов'],['Амбра Принчипато'],['Италия'],2023,5.3
Где Анна Франк?,,['Ари Фольман'],"['Бельгия', 'Франция', 'Люксембург', 'Нидерланды', 'Израиль']",2023,6.4
Гипнотик,"['научная фантастика', 'триллер']",['Роберт Родригес'],['США'],2023,5.5
Герой наших снов,"['комедия', 'ужасы']",['Кристоффер Боргли'],['США'],2023,7.0
Teasing Master Takagi-san,"['романтическая комедия', 'повседневность']","['Хироаки Акаги', 'Хироаки Акаги', 'Рикия Имаидзуми', 'Рикия Имаидзуми']",,2024,
Вся красота и кровопролитие,"['документальный фильм', 'биографический фильм']",['Лора Пойтрас'],['США'],2023,7.5
Время Армагеддона,['драматический фильм'],['Джеймс Грэй'],['США'],2023,6.5
Все страхи Бо,"['комедия', 'драма']",['Ари Астер'],"['США', 'Канада', 'Финляндия']",2023,6.7
Восстание зловещих мертвецов,['фильм ужасов о сверхъестественном'],['Ли Кронин'],['США'],2023,6.5
Военный трибунал по делу о мятеже на «Кейне»,"['драматический фильм', 'военный фильм', 'процессуальная драма']",['Уильям Фридкин'],['США'],2023,6.8
Воскресенье,['драма'],['Шокир Холиков'],['Узбекистан'],2023,8.9
Возрождённые,['фантастический триллер'],['Егор Баранов'],['США'],2023,5.3
Вонка,"['мюзикл', 'фэнтези']",['Пол Кинг'],"['США', 'Великобритания']",2023,7.2
Воздух,"['драма', 'военный']",['Алексей Герман мл.'],['Россия'],2023,5.7
Внутри,['психологический триллер'],['Василис Кацупис'],"['Бельгия', 'Германия', 'Греция']",2023,5.5
Волчонок: Фильм,"['сверхъестественный триллер', 'подростковая драма']",['Рассел Малкэхи'],['США'],2023,5.5
Вира Симха Редди,['боевик'],['Гопичанд Малинели'],['Индия'],2023,4.9
Великий уравнитель 3,"['боевик', 'триллер']",['Антуан Фукуа'],['США'],2023,6.9
Противостояние,"['драма', 'военный фильм', 'криминальный фильм', 'детективный фильм']",['Тимур Алпатов'],['Россия'],2024,
Великая магия,"['комедийный фильм', 'драматический фильм']",['Нанни Моретти'],['Италия'],2023,6.8
Великая ирония,"['фильм-триллер', 'комедийная драма', 'романтический фильм', 'комедийный триллер']",['Вуди Аллен'],"['США', 'Франция']",2023,6.6
Винни-Пух: Кровь и мёд,['слэшер'],['Рис Фрейк-Уотерфилд'],['Великобритания'],2023,2.9
В поисках зверя,"['вестерн', 'драматический фильм', 'экранизация романа']",['Гейб Польски'],['США'],2023,5.7
В паутине,"['комедийный фильм', 'драматический фильм', 'чёрная комедия', 'исторический фильм']",['Ким Чжи Ун'],['Республика Корея'],2023,6.9
Вавилон-5: Дорога домой,['научно-фантастический фильм'],['Мэтт Питерс'],['США'],2023,6.7
В воде,,['Хон Сан Су'],['Республика Корея'],2023,6.3
Бюро магических услуг,"['фэнтезийный фильм', 'приключенческий фильм', 'комедийный фильм']",['Джеффри Уокер'],['Австралия'],2023,6.1
Будика: Королева воинов,"['боевик', 'приключенческий фильм']",['Джесси В. Джонсон'],['Великобритания'],2023,4.3
Брат 3,['криминальная драма'],['Валерий Переверзев'],['Россия'],2023,6.8
Бугимен,['фильм ужасов о сверхъестественном'],['Роб Сэвидж'],['США'],2023,5.9
«Бостонский душитель»,"['драма', 'криминал']",['Мэтт Раскин'],['США'],2023,6.5
"Больше, чем люди","['фантастика', 'триллер']",['Эйприл Маллен'],['Канада'],2023,5.2
Большая колесница,['драматический фильм'],['Филипп Гаррель'],"['Франция', 'Швейцария']",2023,6.0
Командир,['экшен'],"['Александр Гурьянов, Тимур Хван']",['Россия'],2024,
Блуждающая Земля 2,"['научно-фантастический фильм', 'приключенческий боевик']",['Франт Гво'],['Китай'],2023,6.8
Бешенство,['триллер'],['Дмитрий Дьяченко'],['Россия'],2023,6.2
«Битва в проливе Норян»,"['история', 'военный', 'биография']",['Ким Ханмин'],['Южная Корея'],2023,6.7
Бесконечный бассейн,"['триллер', 'научная фантастика']",['Брэндон Кроненберг'],"['Канада', 'Хорватия', 'Венгрия', 'Франция']",2023,6.0
Белые люди не умеют прыгать,['комедия'],['Калматик'],['США'],2023,5.1
Белая птица: Новое чудо,"['военный фильм', 'драматический фильм', 'экранизация книги']",['Марк Форстер'],['США'],2023,7.6
